fixture	retained	prototype
fixtures2/00244_out_of_order_receive.fz	{"applied": 277, "products": 262}	{"applied": 281, "products": 262}
fixtures2/00245_receive_map_pattern.fz	{"applied": 199, "products": 187}	{"applied": 202, "products": 187}
fixtures2/00246_receive_map_nil_value.fz	{"applied": 211, "products": 225}	{"applied": 214, "products": 225}
fixtures2/00247_selective_refs_stress.fz	{"applied": 435, "products": 452}	{"applied": 441, "products": 452}
fixtures2/00248_make_resource_dtor.fz	{"applied": 219, "products": 169}	{"applied": 223, "products": 169}
fixtures2/00249_aliased_resource_dtor.fz	{"applied": 219, "products": 169}	{"applied": 223, "products": 169}
fixtures2/00250_two_distinct_resources.fz	{"applied": 221, "products": 179}	{"applied": 225, "products": 179}
fixtures2/00251_opaque_resource_value.fz	{"applied": 309, "products": 262}	{"applied": 314, "products": 262}
fixtures2/00252_variadic_open_dynamic.fz	{"applied": 90, "products": 90}	{"applied": 91, "products": 90}
fixtures2/00253_variadic_float_error.fz	{"applied": 70, "products": 70}	{"applied": 71, "products": 70}
fixtures2/00271_two_module_cross_call.fz	{"applied": 189, "products": 166}	{"applied": 194, "products": 166}
fixtures2/00272_protocol_impl_dispatch.fz	{"applied": 165, "products": 207}	{"applied": 166, "products": 207}
fixtures2/00273_integer_protocol_dispatch.fz	{"applied": 193, "products": 191}	{"applied": 197, "products": 191}
fixtures2/00274_closed_union_protocol.fz	{"applied": 232, "products": 237}	{"applied": 237, "products": 237}
fixtures2/00275_enum_count_member_reduce.fz	{"applied": 761, "products": 768}	{"applied": 793, "products": 768}
fixtures2/00276_enum_to_list_and_map.fz	{"applied": 636, "products": 798}	{"applied": 649, "products": 798}
fixtures2/00277_enum_tier0_fixture.fz	{"applied": 3323, "products": 5512}	{"applied": 3415, "products": 5512}
fixtures2/00278_enum_count_predicate.fz	{"applied": 501, "products": 509}	{"applied": 513, "products": 509}
fixtures2/00279_enum_find_find_value.fz	{"applied": 676, "products": 688}	{"applied": 695, "products": 688}
fixtures2/00280_enum_find_index.fz	{"applied": 677, "products": 681}	{"applied": 696, "products": 681}
fixtures2/00281_opaque_reducer_closure.fz	{"applied": 586, "products": 605}	{"applied": 595, "products": 605}
fixtures2/00282_enumerable_reduce_done_halt.fz	{"applied": 341, "products": 389}	{"applied": 348, "products": 389}
fixtures2/00283_enum_reduce_while_shape.fz	{"applied": 453, "products": 461}	{"applied": 462, "products": 461}
